Ticker,Date,Time,Open,High,Low,Close,Volume,OI
MSFT,20240719,,433.1,441.14,432,437.11,20940420,0
MSFT,20240718,,444.34,444.65,434.4,440.37,20794820,0
MSFT,20240717,,442.59,444.85,439.18,443.52,21754020,0
MSFT,20240716,,454.22,454.3,446.66,449.52,17175680,0
MSFT,20240715,,453.3,457.26,451.43,453.96,14429450,0
MSFT,20240712,,454.33,456.36,450.65,453.55,16324270,0
MSFT,20240711,,462.98,464.78,451.55,454.7,23111180,0
MSFT,20240710,,461.22,466.46,458.86,466.25,18196100,0
MSFT,20240709,,467,467.33,458,459.54,17228510,0
MSFT,20240708,,466.55,467.7,464.46,466.24,12962320,0
MSFT,20240705,,459.61,468.35,458.97,467.56,16000290,0
MSFT,20240703,,458.19,461.02,457.88,460.77,9932830,0
MSFT,20240702,,453.2,459.59,453.11,459.28,13979780,0
MSFT,20240701,,448.66,457.37,445.66,456.73,17662820,0
MSFT,20240628,,453.07,455.38,446.41,446.95,28362270,0
MSFT,20240627,,452.18,456.17,451.77,452.85,14806320,0
MSFT,20240626,,449,453.6,448.19,452.16,16507029,0
MSFT,20240625,,448.25,451.42,446.75,450.95,16747529,0
MSFT,20240624,,449.8,452.75,446.41,447.67,15913720,0
MSFT,20240621,,447.38,450.58,446.51,449.78,34486168,0
MSFT,20240620,,446.3,446.53,441.27,445.7,19877381,0
MSFT,20240618,,449.71,450.14,444.89,446.34,17112500,0
MSFT,20240617,,442.59,450.94,440.72,448.37,20790029,0
MSFT,20240614,,438.28,443.14,436.72,442.57,13581990,0
MSFT,20240613,,440.85,443.39,439.37,441.58,15960570,0
MSFT,20240612,,435.32,443.4,433.25,441.06,22366230,0
MSFT,20240611,,425.48,432.82,425.25,432.68,14551100,0
MSFT,20240610,,424.7,428.08,423.89,427.87,14003030,0
MSFT,20240607,,426.2,426.28,423,423.85,13621650,0
MSFT,20240606,,424.01,425.31,420.58,424.52,14861250,0
MSFT,20240605,,417.81,424.08,416.3,424.01,16988039,0
MSFT,20240604,,412.43,416.44,409.68,416.07,14348920,0
MSFT,20240603,,415.53,416.43,408.92,413.52,17484680,0
MSFT,20240531,,416.75,416.75,404.51,415.13,47995246,0
MSFT,20240530,,424.3,424.3,414.24,414.67,28424850,0
MSFT,20240529,,425.69,430.94,425.69,429.17,15517130,0
MSFT,20240528,,429.63,430.82,426.6,430.32,15718020,0
MSFT,20240524,,427.19,431.06,424.41,430.16,11855290,0
MSFT,20240523,,432.97,433.6,425.42,427,17211689,0
MSFT,20240522,,430.09,432.41,427.13,430.52,18073699,0
MSFT,20240521,,426.83,432.97,424.85,429.04,21453260,0
MSFT,20240520,,420.21,426.77,419.99,425.34,16272140,0
MSFT,20240517,,422.54,422.92,418.03,420.21,15352240,0
MSFT,20240516,,421.8,425.42,420.35,420.99,17530051,0
MSFT,20240515,,417.9,423.81,417.27,423.08,22239529,0
MSFT,20240514,,412.02,417.49,411.55,416.56,15109310,0
MSFT,20240513,,418.01,418.35,410.82,413.72,15440230,0
MSFT,20240510,,412.94,415.38,411.8,414.74,13402280,0
MSFT,20240509,,410.57,412.72,409.1,412.32,14689730,0
